"id","fqdn/ip","port","severity","finding","cve","cwe"
"clientsimulation-firefox_100_win10","www.coque-en-bois.fr/23.227.38.74","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-ie_6_xp","www.coque-en-bois.fr/23.227.38.74","443","INFO","No connection","",""
"clientsimulation-ie_8_win7","www.coque-en-bois.fr/23.227.38.74","443","INFO","No connection","",""
"clientsimulation-ie_8_xp","www.coque-en-bois.fr/23.227.38.74","443","INFO","No connection","",""
"clientsimulation-ie_11_win7","www.coque-en-bois.fr/23.227.38.74","443","INFO","TLSv1.2 ECDHE-RSA-AES128-SHA","",""
"clientsimulation-ie_11_win81","www.coque-en-bois.fr/23.227.38.74","443","INFO","TLSv1.2 ECDHE-RSA-AES128-SHA","",""
"clientsimulation-ie_11_winphone81","www.coque-en-bois.fr/23.227.38.74","443","INFO","TLSv1.2 ECDHE-RSA-AES128-SHA","",""
"clientsimulation-ie_11_win10","www.coque-en-bois.fr/23.227.38.74","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-edge_15_win10","www.coque-en-bois.fr/23.227.38.74","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-edge_101_win10_21h2","www.coque-en-bois.fr/23.227.38.74","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-safari_121_ios_122","www.coque-en-bois.fr/23.227.38.74","443","INFO","TLSv1.3 TLS_CHACHA20_POLY1305_SHA256","",""
"clientsimulation-safari_130_osx_10146","www.coque-en-bois.fr/23.227.38.74","443","INFO","TLSv1.3 TLS_CHACHA20_POLY1305_SHA256","",""
"clientsimulation-safari_154_osx_1231","www.coque-en-bois.fr/23.227.38.74","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-java_7u25","www.coque-en-bois.fr/23.227.38.74","443","INFO","No connection","",""
"clientsimulation-java_8u161","www.coque-en-bois.fr/23.227.38.74","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-java1102","www.coque-en-bois.fr/23.227.38.74","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-java1703","www.coque-en-bois.fr/23.227.38.74","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-go_1178","www.coque-en-bois.fr/23.227.38.74","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-libressl_283","www.coque-en-bois.fr/23.227.38.74","443","INFO","TLSv1.2 ECDHE-RSA-CHACHA20-POLY1305","",""
"clientsimulation-openssl_102e","www.coque-en-bois.fr/23.227.38.74","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
